fileName,frameNum,dataList
./data\6875317312082201857.mp4,75,"[337, 185, 47, 47]"
./data\6875317312082201857.mp4,76,"[333, 184, 46, 46]"
./data\6875317312082201857.mp4,77,"[327, 181, 46, 46]"
./data\6875317312082201857.mp4,78,"[320, 178, 47, 47]"
./data\6875317312082201857.mp4,109,"[308, 293, 89, 89]"
./data\6875317312082201857.mp4,114,"[398, 460, 56, 56]"
./data\6875317312082201857.mp4,123,"[413, 294, 28, 28]"
./data\6875317312082201857.mp4,139,"[419, 298, 26, 26]"
./data\6875342937002085633.mp4,0,"[118, 290, 285, 285]"
./data\6875342937002085633.mp4,1,"[115, 286, 290, 290]"
./data\6875342937002085633.mp4,2,"[113, 288, 286, 286]"
./data\6875342937002085633.mp4,3,"[117, 289, 283, 283]"
./data\6875342937002085633.mp4,4,"[121, 291, 274, 274]"
./data\6875342937002085633.mp4,5,"[114, 288, 279, 279]"
./data\6875342937002085633.mp4,6,"[114, 285, 282, 282]"
./data\6875342937002085633.mp4,7,"[114, 283, 282, 282]"
./data\6875342937002085633.mp4,8,"[104, 276, 293, 293]"
./data\6875342937002085633.mp4,9,"[108, 280, 286, 286]"
./data\6875342937002085633.mp4,10,"[107, 281, 291, 291]"
./data\6875342937002085633.mp4,11,"[108, 279, 291, 291]"
./data\6875342937002085633.mp4,12,"[109, 280, 290, 290]"
./data\6875342937002085633.mp4,13,"[106, 278, 292, 292]"
./data\6875342937002085633.mp4,14,"[105, 278, 293, 293]"
./data\6875342937002085633.mp4,15,"[103, 277, 293, 293]"
./data\6875342937002085633.mp4,16,"[105, 277, 293, 293]"
./data\6875342937002085633.mp4,17,"[108, 280, 290, 290]"
./data\6875342937002085633.mp4,18,"[107, 278, 295, 295]"
./data\6875342937002085633.mp4,19,"[107, 279, 291, 291]"
./data\6875342937002085633.mp4,20,"[108, 279, 291, 291]"
./data\6875342937002085633.mp4,21,"[108, 278, 293, 293]"
./data\6875342937002085633.mp4,22,"[107, 277, 293, 293]"
./data\6875342937002085633.mp4,23,"[109, 280, 290, 290]"
./data\6875342937002085633.mp4,24,"[109, 280, 290, 290]"
./data\6875342937002085633.mp4,25,"[108, 280, 288, 288]"
./data\6875342937002085633.mp4,26,"[109, 281, 285, 285]"
./data\6875342937002085633.mp4,27,"[112, 284, 279, 279]"
./data\6875342937002085633.mp4,28,"[110, 279, 285, 285]"
./data\6875342937002085633.mp4,29,"[111, 285, 282, 282]"
./data\6875342937002085633.mp4,30,"[111, 287, 280, 280]"
./data\6875342937002085633.mp4,31,"[113, 285, 284, 284]"
./data\6875342937002085633.mp4,32,"[116, 287, 281, 281]"
./data\6875342937002085633.mp4,33,"[114, 287, 283, 283]"
./data\6875342937002085633.mp4,34,"[113, 284, 287, 287]"
./data\6875342937002085633.mp4,35,"[112, 286, 287, 287]"
./data\6875342937002085633.mp4,36,"[112, 286, 287, 287]"
./data\6875342937002085633.mp4,37,"[114, 286, 287, 287]"
./data\6875342937002085633.mp4,38,"[113, 285, 291, 291]"
./data\6875342937002085633.mp4,39,"[113, 284, 290, 290]"
./data\6875342937002085633.mp4,40,"[113, 286, 288, 288]"
./data\6875342937002085633.mp4,41,"[111, 281, 291, 291]"
./data\6875342937002085633.mp4,42,"[112, 280, 293, 293]"
./data\6875342937002085633.mp4,43,"[115, 284, 293, 293]"
./data\6875342937002085633.mp4,44,"[121, 288, 290, 290]"
