연도(BASE_YY),국가부호(CNTY_CD),국가명(CNTY_NM),대륙_경제권(CNTN_EBK_UNFC_CLSF_NM)
2022,AF,아프카니스탄,아시아
2022,AM,아르메니아,아시아
2022,AZ,아제르바이잔,아시아
2022,BD,방글라데시,아시아
2022,BN,브루나이,아시아
2022,BT,부탄,아시아
2022,CN,중국,아시아
2022,HK,홍콩,아시아
2022,ID,인도네시아,아시아
2022,IN,인도,아시아
2022,JP,일본,아시아
2022,KG,키르기스스탄,아시아
2022,KH,캄보디아,아시아
2022,KP,북한,아시아
2022,KR,한국,아시아
2022,KZ,카자흐스탄,아시아
2022,LA,라오스,아시아
2022,LK,스리랑카,아시아
2022,MM,미얀마,아시아
2022,MN,몽골,아시아
2022,MO,마카오,아시아
2022,MV,몰디브,아시아
2022,MY,말레이시아,아시아
2022,NP,네팔,아시아
2022,PH,필리핀,아시아
2022,PK,파키스탄,아시아
2022,SG,싱가포르,아시아
2022,TH,태국,아시아
2022,TJ,타지크,아시아
2022,TL,티모르,아시아
2022,TM,투르크멘,아시아
2022,TW,대만,아시아
2022,UZ,우즈베키스탄,아시아
2022,VN,베트남,아시아
2022,AE,아랍에미리트 연합,중동
2022,BH,바레인,중동
2022,DZ,알제리,중동
2022,EG,이집트,중동
2022,IL,이스라엘,중동
2022,IQ,이라크,중동
2022,IR,이란,중동
2022,JO,요르단,중동
2022,KW,쿠웨이트,중동
2022,LB,레바논,중동
2022,LY,리비아,중동
2022,MA,모로코,중동
2022,MR,모리타니,중동
2022,NT,중립지대,중동
2022,OM,오만,중동
2022,QA,카타르,중동
2022,SA,사우디아라비아,중동
2022,SD,수단,중동
2022,SY,시리아,중동
2022,TN,튀니지,중동
2022,YE,예맨,중동
2022,AD,안도라,유럽
2022,AL,알바니아,유럽
2022,AT,오스트리아,유럽
2022,AX,알랜드 군도,유럽
2022,BA,보스니아-헤르체고비나,유럽
2022,BE,벨기에,유럽
2022,BG,불가리아,유럽
2022,BY,베라루스,유럽
2022,CH,스위스,유럽
2022,CY,사이프러스,유럽
2022,CZ,체코공화국,유럽
2022,DE,독일,유럽
2022,DK,덴마크,유럽
2022,EE,에스토니아,유럽
2022,ER,에리트리아,유럽
2022,ES,스페인,유럽
2022,FI,핀란드,유럽
2022,FO,파로에 군도,유럽
2022,FR,프랑스,유럽
2022,FX,프랑스 메트로폴리탄,유럽
2022,GB,영국,유럽
2022,GE,조지아,유럽
2022,GG,건지,유럽
2022,GI,지브랄타,유럽
2022,GR,그리스,유럽
2022,GS,남조지아 & 남샌드위치 군도,유럽
2022,HR,크로아티아,유럽
2022,HU,헝가리,유럽
2022,IE,아일랜드,유럽
2022,IM,맨섬,유럽
2022,IS,아이슬란드,유럽
2022,IT,이탈리아,유럽
2022,JE,저어지,유럽
2022,LI,리히텐슈타인,유럽
2022,LT,리투아니아,유럽
2022,LU,룩셈부르그,유럽
2022,LV,라트비아,유럽
2022,MC,모나코,유럽
2022,MD,몰도바,유럽
2022,ME,몬테네그로,유럽
2022,MK,마세도니아,유럽
2022,MT,몰타,유럽
2022,NL,네덜란드,유럽
2022,NO,노르웨이,유럽
2022,PL,폴란드,유럽
2022,PT,포루투갈,유럽
2022,RO,루마니아,유럽
2022,RS,세르비아,유럽
2022,RU,러시아 연방,유럽
2022,SE,스웨덴,유럽
2022,SI,슬로베니아,유럽
2022,SJ,스발비드 군도,유럽
2022,SK,슬로바키아,유럽
2022,SM,산마리노,유럽
2022,TR,튀르키예,유럽
2022,UA,우크라이나,유럽
2022,VA,교황청,유럽
2022,YU,유고,유럽
2022,CA,캐나다,북미
2022,US,미국,북미
2022,AG,안티가 바부다,중남미
2022,AN,네덜란드 열도,중남미
2022,AQ,안타티카,중남미
2022,AR,아르헨티나,중남미
2022,AW,아루바,중남미
2022,BB,바베이도스,중남미
2022,BL,세인트 바르탤르미,중남미
2022,BM,버뮤다,중남미
2022,BO,볼리비아,중남미
2022,BQ,보네르 신트외스타티위스,중남미
2022,BR,브라질,중남미
2022,BS,바하마,중남미
2022,BZ,벨리제,중남미
2022,CL,칠레,중남미
2022,CO,콜롬비아,중남미
2022,CR,코스타리카,중남미
2022,CU,쿠바,중남미
2022,CW,큐라소,중남미
2022,DM,도미니카,중남미
2022,DO,도미니카 공화국,중남미
2022,EC,에쿠아도르,중남미
2022,FK,포클랜드 군도,중남미
2022,GD,그레나다,중남미
2022,GF,불령 가이아나,중남미
2022,GL,그린랜드,중남미
2022,GP,과델로프,중남미
2022,GT,과테말라,중남미
2022,GY,가이아나,중남미
2022,HN,온두라스,중남미
2022,HT,아이티,중남미
2022,JM,자마이카,중남미
2022,KN,세인트 키츠 네비스,중남미
2022,KY,영령 캐이맨 군도,중남미
2022,LC,세인트 루시아,중남미
2022,MF,세인트 마틴,중남미
2022,MI,미드웨이 군도,중남미
2022,MQ,마티니크,중남미
2022,MS,몬트세라트,중남미
2022,MX,멕시코,중남미
2022,NI,니카라과,중남미
2022,PA,파나마,중남미
2022,PE,페루,중남미
2022,PM,세인트 피레 미켈론,중남미
2022,PR,푸에르토리코,중남미
2022,PY,파라과이,중남미
2022,PZ,파나마운하지역,중남미
2022,SR,수리남,중남미
2022,SV,엘살바도르,중남미
2022,TC,투르크 & 카이코스 군도,중남미
2022,TT,트리니다드 토바고,중남미
2022,UY,우루과이,중남미
2022,VC,세인트 빈센트 그레나딘,중남미
2022,VE,베네주엘라,중남미
2022,VG,영령 버진군도,중남미
2022,VI,미령 버진군도,중남미
2022,AI,앙귈라,아프리카
2022,AO,앙골라,아프리카
2022,BF,부르키나 파소,아프리카
2022,BI,부룬디,아프리카
2022,BJ,베닝,아프리카
2022,BV,보빗군도,아프리카
2022,BW,보츠와나,아프리카
2022,CD,콩고민주공화국,아프리카
2022,CF,중앙아프리카공화국,아프리카
2022,CG,콩고,아프리카
2022,CI,코트디봐르,아프리카
2022,CM,카메룬,아프리카
2022,CV,카보 베르데,아프리카
2022,DJ,지부티,아프리카
2022,EH,서사하라,아프리카
2022,ET,에티오피아,아프리카
2022,GA,가봉,아프리카
2022,GH,가나,아프리카
2022,GM,감비아,아프리카
2022,GN,기니,아프리카
2022,GQ,적도 기니,아프리카
2022,GW,기네비소,아프리카
2022,IO,영령 인도양,아프리카
2022,KE,케냐,아프리카
2022,KM,코모로스,아프리카
2022,LR,라이베리아,아프리카
2022,LS,레소토,아프리카
2022,MG,마다카스카르,아프리카
2022,ML,말리,아프리카
2022,MU,모리셔스,아프리카
2022,MW,말라위,아프리카
2022,MZ,모잠비크,아프리카
2022,NA,나미비아,아프리카
2022,NE,니제르,아프리카
2022,NG,나이지리아,아프리카
2022,PS,팔레스타인 해방기구,아프리카
2022,RE,불령 리유니온 코모도 제도,아프리카
2022,RW,르완다,아프리카
2022,SC,세이쉘,아프리카
2022,SH,세인트 헬레나,아프리카
2022,SL,시에라 리온,아프리카
2022,SN,세네갈,아프리카
2022,SO,소말리아,아프리카
2022,SS,남수단,아프리카
2022,ST,상토메 프린스페,아프리카
2022,SZ,스와질랜드,아프리카
2022,TD,챠드,아프리카
2022,TF,불령 남부지역,아프리카
2022,TG,토고,아프리카
2022,TZ,탄자니아,아프리카
2022,UG,우간다,아프리카
2022,YT,메요트,아프리카
2022,ZA,남아프리카공화국,아프리카
2022,ZM,잠비아,아프리카
2022,ZR,자이르,아프리카
2022,ZW,짐바브웨,아프리카
2022,AU,호주,오세아니아
2022,CK,쿡 아일랜드,오세아니아
2022,FJ,피지,오세아니아
2022,GU,괌,오세아니아
2022,NC,뉴 칼레도니아,오세아니아
2022,NR,나우루,오세아니아
2022,NU,니우에,오세아니아
2022,NZ,뉴질랜드,오세아니아
2022,PF,불령 폴리네시아,오세아니아
2022,PG,파푸아 뉴기니,오세아니아
2022,SB,솔로몬 군도,오세아니아
2022,TK,토켈라우,오세아니아
2022,TO,통가,오세아니아
2022,WS,사모아,오세아니아
2022,AS,아메리칸 사모아,대양주
2022,CC,코스 군도,대양주
2022,CT,캔톤아일랜드,대양주
2022,CX,크리스마스 아일랜드,대양주
2022,FM,마이크로네시아,대양주
2022,HM,허드 앤 맥도날드 군도,대양주
2022,JT,존스톤 아일랜드,대양주
2022,KI,키리바티,대양주
