No,시도,구군,행복역량지수
1,서울특별시,종로구,0.8074
2,서울특별시,중구,0.6939
3,서울특별시,용산구,0.531
4,서울특별시,성동구,0.4751
5,서울특별시,광진구,0.5317
6,서울특별시,동대문구,0.4921
7,서울특별시,중랑구,0.4057
8,서울특별시,성북구,0.3999
9,서울특별시,강북구,0.3535
10,서울특별시,도봉구,0.4297
11,서울특별시,노원구,0.4307
12,서울특별시,은평구,0.3513
13,서울특별시,서대문구,0.5715
14,서울특별시,마포구,0.5362
15,서울특별시,양천구,0.5178
16,서울특별시,강서구,0.3693
17,서울특별시,구로구,0.5316
18,서울특별시,금천구,0.4713
19,서울특별시,영등포구,0.6246
20,서울특별시,동작구,0.3712
21,서울특별시,관악구,0.4034
22,서울특별시,서초구,0.6024
23,서울특별시,강남구,0.6281
24,서울특별시,송파구,0.5453
25,서울특별시,강동구,0.5229
26,부산광역시,중구,0.6036
27,부산광역시,서구,0.5329
28,부산광역시,동구,0.5317
29,부산광역시,영도구,0.3518
30,부산광역시,부산진구,0.447
31,부산광역시,동래구,0.5237
32,부산광역시,남구,0.4276
33,부산광역시,북구,0.3637
34,부산광역시,해운대구,0.3915
35,부산광역시,사하구,0.3179
36,부산광역시,금정구,0.4617
37,부산광역시,강서구,0.3303
38,부산광역시,연제구,0.4199
39,부산광역시,수영구,0.4172
40,부산광역시,사상구,0.4032
41,부산광역시,기장군,0.4738
42,대구광역시,중구,0.7384
43,대구광역시,동구,0.3053
44,대구광역시,서구,0.2329
45,대구광역시,남구,0.5006
46,대구광역시,북구,0.3691
47,대구광역시,수성구,0.4426
48,대구광역시,달서구,0.3858
49,대구광역시,달성군,0.4399
50,인천광역시,중구,0.5146
51,인천광역시,동구,0.5439
52,인천광역시,연수구,0.4042
53,인천광역시,남동구,0.3699
54,인천광역시,부평구,0.3356
55,인천광역시,계양구,0.4205
56,인천광역시,서구,0.3615
57,인천광역시,미추홀구,0.3136
58,인천광역시,강화군,0.3915
59,인천광역시,옹진군,0.4052
60,광주광역시,동구,0.6208
61,광주광역시,서구,0.5468
62,광주광역시,남구,0.5372
63,광주광역시,북구,0.4835
64,광주광역시,광산구,0.4431
65,대전광역시,동구,0.4377
66,대전광역시,중구,0.5682
67,대전광역시,서구,0.5625
68,대전광역시,유성구,0.6076
69,대전광역시,대덕구,0.4655
70,울산광역시,중구,0.4424
71,울산광역시,남구,0.5461
72,울산광역시,동구,0.5202
73,울산광역시,북구,0.4811
74,울산광역시,울주군,0.5998
75,세종특별자치시,세종시,0.3914
76,경기도,수원시,0.4786
77,경기도,성남시,0.5348
78,경기도,의정부시,0.5007
79,경기도,안양시,0.5168
80,경기도,부천시,0.4829
81,경기도,광명시,0.4777
82,경기도,평택시,0.3239
83,경기도,동두천시,0.4757
84,경기도,안산시,0.402
85,경기도,고양시,0.443
86,경기도,과천시,0.6183
87,경기도,구리시,0.5199
88,경기도,남양주시,0.3663
89,경기도,오산시,0.4136
90,경기도,시흥시,0.4134
91,경기도,군포시,0.5147
92,경기도,의왕시,0.4905
93,경기도,하남시,0.3575
94,경기도,용인시,0.459
95,경기도,파주시,0.4072
96,경기도,이천시,0.4087
97,경기도,안성시,0.3666
98,경기도,김포시,0.4002
99,경기도,화성시,0.4747
100,경기도,광주시,0.4006
101,경기도,양주시,0.3748
102,경기도,포천시,0.3931
103,경기도,여주시,0.4128
104,경기도,연천군,0.3737
105,경기도,가평군,0.5087
106,경기도,양평군,0.3617
107,강원도,춘천시,0.5131
108,강원도,원주시,0.444
109,강원도,강릉시,0.4593
110,강원도,동해시,0.4583
111,강원도,태백시,0.4203
112,강원도,속초시,0.4749
113,강원도,삼척시,0.4945
114,강원도,홍천군,0.4373
115,강원도,횡성군,0.4612
116,강원도,영월군,0.5245
117,강원도,평창군,0.3656
118,강원도,정선군,0.495
119,강원도,철원군,0.3997
120,강원도,화천군,0.4934
121,강원도,양구군,0.47
122,강원도,인제군,0.481
123,강원도,고성군,0.3936
124,강원도,양양군,0.4291
125,충청북도,충주시,0.4108
126,충청북도,제천시,0.4359
127,충청북도,청주시,0.473
128,충청북도,보은군,0.4807
129,충청북도,옥천군,0.6326
130,충청북도,영동군,0.5235
131,충청북도,진천군,0.4398
132,충청북도,괴산군,0.475
133,충청북도,음성군,0.5294
134,충청북도,단양군,0.4979
135,충청북도,증평군,0.4095
136,충청남도,천안시,0.5371
137,충청남도,공주시,0.5381
138,충청남도,보령시,0.2972
139,충청남도,아산시,0.4496
140,충청남도,서산시,0.3553
141,충청남도,논산시,0.4954
142,충청남도,계룡시,0.5473
143,충청남도,당진시,0.2609
144,충청남도,금산군,0.5935
145,충청남도,부여군,0.4789
146,충청남도,서천군,0.4688
147,충청남도,청양군,0.4801
148,충청남도,홍성군,0.4723
149,충청남도,예산군,0.435
150,충청남도,태안군,0.3762
151,전라북도,전주시,0.4846
152,전라북도,군산시,0.3425
153,전라북도,익산시,0.4427
154,전라북도,정읍시,0.4237
155,전라북도,남원시,0.4861
156,전라북도,김제시,0.3182
157,전라북도,완주군,0.4625
158,전라북도,진안군,0.4866
159,전라북도,무주군,0.4523
160,전라북도,장수군,0.3977
161,전라북도,임실군,0.4464
162,전라북도,순창군,0.4102
163,전라북도,고창군,0.4453
164,전라북도,부안군,0.399
165,전라남도,목포시,0.5435
166,전라남도,여수시,0.4096
167,전라남도,순천시,0.506
168,전라남도,나주시,0.4338
169,전라남도,광양시,0.3929
170,전라남도,담양군,0.4838
171,전라남도,곡성군,0.4942
172,전라남도,구례군,0.5721
173,전라남도,고흥군,0.429
174,전라남도,보성군,0.4684
175,전라남도,화순군,0.575
176,전라남도,장흥군,0.3458
177,전라남도,강진군,0.4694
178,전라남도,해남군,0.4012
179,전라남도,영암군,0.3883
180,전라남도,무안군,0.5074
181,전라남도,함평군,0.5529
182,전라남도,영광군,0.4561
183,전라남도,장성군,0.4773
184,전라남도,완도군,0.3855
185,전라남도,진도군,0.3641
186,전라남도,신안군,0.3048
187,경상북도,포항시,0.404
188,경상북도,경주시,0.4033
189,경상북도,김천시,0.3422
190,경상북도,안동시,0.4608
191,경상북도,구미시,0.344
192,경상북도,영주시,0.4043
193,경상북도,영천시,0.3331
194,경상북도,상주시,0.4034
195,경상북도,문경시,0.3713
196,경상북도,경산시,0.4477
197,경상북도,군위군,0.277
198,경상북도,의성군,0.3102
199,경상북도,청송군,0.3882
200,경상북도,영양군,0.3274
201,경상북도,영덕군,0.3087
202,경상북도,청도군,0.3616
203,경상북도,고령군,0.4033
204,경상북도,성주군,0.4443
205,경상북도,칠곡군,0.4604
206,경상북도,예천군,0.2941
207,경상북도,봉화군,0.3097
208,경상북도,울진군,0.2951
209,경상북도,울릉군,0.5255
210,경상남도,진주시,0.4988
211,경상남도,통영시,0.3843
212,경상남도,사천시,0.4109
213,경상남도,김해시,0.4038
214,경상남도,밀양시,0.425
215,경상남도,거제시,0.3332
216,경상남도,양산시,0.496
217,경상남도,창원시,0.4422
218,경상남도,의령군,0.474
219,경상남도,함안군,0.5133
220,경상남도,창녕군,0.544
221,경상남도,고성군,0.4971
222,경상남도,남해군,0.4495
223,경상남도,하동군,0.3563
224,경상남도,산청군,0.3934
225,경상남도,함양군,0.3867
226,경상남도,거창군,0.4061
227,경상남도,합천군,0.3021
228,제주특별자치도,제주시,0.4481
229,제주특별자치도,서귀포시,0.4481
