title,link,image,author,discount,publisher,pubdate,isbn,description,title_nouns,description	_nouns
점프투파이썬중학생도첫날부터실습하는초고속입문서,https://search.shopping.naver.com/book/catalog/40354085633,https://shopping-phinf.pstatic.net/main_4035408/40354085633.20230927071024.jpg,박응용,19800,이지스퍼블리싱,20230615,9791163034735,프로그래밍분야년연속베스트셀러점프투파이썬전면개정판출시중고등학생도비전공자도직장인도프로그래밍에눈뜨게만든바로그책이전면개정판으로새롭게태어났다챗를시작으로펼쳐진생성시대에맞춰설명과예제를다듬고최신경향과심화내용을보충했다또한이번개정판도만코딩유튜버인조코딩과협업을통해유튜브동영상을제공해파이썬을더쉽게공부할수있다년연속베스트셀러위키독스누적방문만독자의입에서입으로전해진추천과수많은대학및학원의교재채택을통해검증은이미끝났다코딩을처음배우는중고등학생부터코딩소양을기르려는비전공자자기계발에진심인직장인까지이책과함께파이썬프로그래밍의세계로점프해보자,"['점프', '투', '파이썬', '중학생', '첫날', '실습', '초고', '입문']","['프로그래밍', '년', '베스트셀러', '점프', '투', '파이썬', '전면', '개정판', '출시', '고등학생', '도비', '전공자', '직장인', '프로그래밍', '바로', '책', '이전', '개정판', '챗를', '시작', '생', '시대', '설명', '예제', '최신', '경향', '심화', '내용', '보충', '또한', '이번', '개정판', '만', '코딩', '유', '튜버', '인조', '코딩', '협업', '통해', '유튜브', '동영상', '을제', '공해', '파이썬', '더', '공부', '다년', '연속', '베스트셀러', '위키', '독스', '누적', '방문', '독자', '입', '입', '전해진', '추천', '대학', '및', '학원', '교재', '채택', '통해', '검증', '코딩', '처음', '중', '고등학생', '코딩', '소양', '비', '전공자', '자기계발', '진심', '직장인', '책', '파이썬', '프로그래밍', '세계', '점프']"
파이썬머신러닝완벽가이드다양한캐글예제와함께기초알고리즘부터최신기법까지배우는,https://search.shopping.naver.com/book/catalog/32485894885,https://shopping-phinf.pstatic.net/main_3248589/32485894885.20230620101232.jpg,권철민,34200,위키북스,20220421,9791158393229,자세한이론설명과파이썬실습을통해머신러닝을완벽하게배울수있습니다파이썬머신러닝완벽가이드는이론위주의머신러닝책에서탈피해다양한실전예제를직접구현해보면서머신러닝을체득할수있도록만들었습니다캐글과머신러닝리포지토리에서난이도가있는실습데이터를기반으로실전예제를구성했고스태킹기법등캐글의많은데이터사이언스에서애용하는최신알고리즘과기법을상세하게설명했습니다이번개정판에서는최신사이킷런버전을포함해책에서사용되는모든라이브러리를최신버전으로업그레이드한실습코드를구현하고다양한유형의하이퍼파라미터를가지는나모델의최적하이퍼파라미터튜닝을위한베이지안최적화기법적용실습을제공합니다또한머신러닝관련데이터분석에널리쓰이는시각화라이브러리인과의활용법을다룬장을새롭게추가했습니다,"['파이썬', '머신', '러닝', '완벽', '가이드', '캐글', '예제', '기초', '알고리즘', '최신', '기법']","['이론', '설명', '파이썬', '실습', '통해', '머신', '러닝', '파이썬', '머신', '러닝', '완벽', '가이드', '이론', '위주', '머신', '러닝', '책', '탈', '피해', '예제', '직접', '구현', '머신', '러닝', '체득', '캐글', '머신', '러닝', '리', '포지', '토리', '난이도', '실습', '데이터', '기반', '실전', '예제', '구성', '고스', '태킹', '기법', '등캐글', '데이터', '사이언스', '애용', '최신', '알고리즘', '기법', '상세', '설명', '이번', '개정판', '최신', '사이', '킷런', '버전', '포함', '해책', '사용', '모든', '라이브러리', '최신', '버전', '업그레이드', '실습', '코드', '구현', '유형', '하이퍼', '파라미터', '모델', '최적', '하이퍼', '파라미터', '튜닝', '위', '베이지안', '최적화', '기법', '적용', '실습', '제공', '또한', '머신', '러닝', '관련', '데이터', '분석', '널리', '시각', '라이브러리', '인과', '활용', '법', '장', '추가']"
혼자공부하는파이썬과외하듯배우는프로그래밍자습서,https://search.shopping.naver.com/book/catalog/32507605957,https://shopping-phinf.pstatic.net/main_3250760/32507605957.20230509170119.jpg,윤인성,19800,한빛미디어,20220601,9791162245651,혼자해도충분하다과외하듯배우는파이썬프로그래밍자습서혼자공부하는파이썬이더욱흥미있고알찬내용으로개정되었습니다프로그래밍이정말처음인입문자도따라갈수있는친절한설명과단계별학습은그대로혼자공부하더라도체계적으로계획을세워학습할수있도록혼공계획표를새롭게추가했습니다또한입문자가자주물어보는질문과오류해결방법을적재적소에배치하여예상치못한문제에부딪혀도좌절하지않고끝까지완독할수있도록도와줍니다단순한문법암기와코딩따라하기에지쳤다면새로운혼공파와함께누적예제와도전문제로프로그래밍의신세계를경험해보세요배운내용을씹고뜯고맛보고즐기다보면응용력은물론알고리즘사고력까지키워코딩실력이쑥쑥성장할것입니다이책은독학으로파이썬을배우는입문자가꼭필요한내용을제대로학습할수있도록구성했습니다뭘모르는지조차모르는입문자의막연한마음에십분공감하여과외선생님이알려주듯친절하게핵심적인내용만콕콕집어줍니다책의첫페이지를펼쳐서마지막페이지를덮을때까지혼자서도충분히파이썬을배울수있다는자신감과확신이계속될것입니다베타리더와함께입문자에게맞는난이도분량학습요소등을적극반영했습니다어려운용어와개념은한번더풀어쓰고복잡한설명은눈에잘들어오는그림으로풀어냈습니다혼자공부해본여러입문자의초심과눈높이가책곳곳에반영된것이이책의가장큰장점입니다,"['혼자', '공부', '파이썬', '프로그래밍']","['혼자', '과외', '듯', '파이썬', '프로그래밍', '혼자', '공부', '파이썬', '더욱', '흥미', '개정', '프로그래밍', '정말', '처음', '입문', '설명', '단계', '별', '학습', '그대로', '혼자', '공부', '체계', '계획', '학습', '혼공', '계획', '표', '추가', '또한', '입문', '자주', '질문', '오류', '해결', '방법', '적재적소', '배치', '예', '상치', '못', '문제', '좌절', '끝', '완독', '문법', '암기', '코딩', '혼공파', '누적', '예제', '전문', '제로', '프로그래밍', '신세계', '경험', '응용', '알고리즘', '사고력', '코딩', '실력', '책', '독학', '파이썬', '입문', '꼭', '을제', '학습', '구성', '뭘', '조차', '입문', '마음', '십분', '공감', '과외', '선생님', '핵심', '내용', '책', '첫', '페이지', '마지막', '페이지', '때', '혼자', '서도', '파이썬', '자신감', '확신', '계속', '베타', '리더', '입문', '난이도', '분량', '학습', '소등', '적극', '반영', '용어', '개념', '한번', '더', '설명', '눈', '그림', '혼자', '공부', '여러', '입문', '초심', '눈높이', '가책', '곳곳', '반영', '이이', '책', '가장', '장점']"
챗파이썬으로직원만들기기획자료준비디자인영상편집까지혼자다하는유튜브앱만들기,https://search.shopping.naver.com/book/catalog/43757879621,https://shopping-phinf.pstatic.net/main_4375787/43757879621.20231102092120.jpg,이성용,22500,이지스퍼블리싱,20231110,9791163035237,멘토이자동료일꾼이되어줄앱을챗와파이썬으로만들어보자가내일을대신해준다면얼마나좋을까이질문을해결해줄수있는책이출간됐다이책에서는챗와파이썬을활용해기획부터자료준비이미지생성영상편집까지할줄아는만능유튜브앱을만들어본다프로젝트의처음부터끝까지챗와함께하기에파이썬기초문법만알면누구나책의실습을끝까지따라해앱을만들수있다활용법프롬프트엔지니어링팁하이퍼파라미터조절법까지생성형를자유자재로쓸수있는저자만의실전노하우도가득담겨있다,"['챗', '파이썬', '직원', '만들기', '기획', '자료', '준비', '디자인', '영상편집', '혼자', '유튜브', '앱', '만들기']","['멘토', '이자', '동료', '일꾼', '앱', '챗', '파이썬', '내일', '대신', '얼마나', '질문', '해결', '책', '간', '책', '챗', '파이썬', '활용', '해', '기획', '자료', '준비', '이미지', '생', '영상편집', '만능', '유튜브', '앱', '프로젝트', '처음', '끝', '챗', '파이썬', '기초', '문법', '알', '누구', '책', '실습', '끝', '앱', '활용', '법', '프롬', '프트', '엔지니어링', '팁', '하이퍼', '파라미터', '조절', '법', '생', '성형', '를', '자유', '자재', '저자', '실전', '노하우', '가득']"
코딩자율학습나도코딩의파이썬입문초보자눈높이에맞춘친절한프로그래밍자습서,https://search.shopping.naver.com/book/catalog/37828235624,https://shopping-phinf.pstatic.net/main_3782823/37828235624.20230404163151.jpg,나도코딩,21600,길벗,20230220,9791140703302,만명의구독자와만천명의수강생이증명한최고의파이썬강의나도코딩의프로그래밍학습노하우를배우자유튜브와인프런최고의인기강의를한권에담았습니다일상속재미있는예제로파이썬기본개념을배우고분퀴즈실습문제셀프체크로이어지는단계별학습으로파이썬을완공할수있습니다이제코딩은선택이아닌필수코딩은전공자만배울수있다는생각으로지레포기하지마세요파이썬은초보자가가장쉽게배울수있는프로그래밍언어입니다관심만있다면누구나코딩을배울수있습니다나도코딩이쉽고재미있게알려드립니다코딩을처음배우는사람도단계적용어설명과친절한지시선으로막힘없이따라할수있습니다기본설명외에팁노트등을적재적소에배치해혼자공부할때생길수있는의문점을쉽게해결할수있게도와줍니다이제코딩자율학습나도코딩의파이썬입문으로완벽한코딩자율학습을경험해보세요,"['코딩', '자율학습', '코딩', '파이썬', '입문', '초보자', '눈높이', '프로그래밍']","['명의', '독자', '명의', '수강생', '증명', '최고', '파이썬', '강의', '코딩', '프로그래밍', '학습', '노하우', '배우자', '유튜브', '와인', '프런', '최고', '인기', '강의', '권', '일상', '속', '제로', '파이썬', '기본', '개념', '배우', '고분', '퀴즈', '실습', '문제', '셀프', '체크', '단계', '학습', '파이썬', '완공', '이제', '코딩', '선택', '필수', '코딩', '전공자', '생각', '지레', '포기', '파이썬', '초보자', '가가', '프로그래밍언어', '관심', '누구', '코딩', '코딩', '코딩', '처음', '배우는사람', '단계', '적용', '설명', '시선', '기본', '설명', '외', '팁', '노트', '등', '적재적소', '배치', '해', '혼자', '공부', '때', '의문', '점', '해결', '이제', '코딩', '자율학습', '코딩', '파이썬', '입문', '코딩', '자율학습', '경험']"
챗로만드는주식암호화폐자동매매시스템코딩은몰라도누구나할수있는파이썬금융프로그램,https://search.shopping.naver.com/book/catalog/43757872621,https://shopping-phinf.pstatic.net/main_4375787/43757872621.20231102092116.jpg,설근민,18000,제이펍,20231117,9791192987033,코딩나는몰라도돼챗가알아서척척만드는금융프로그램코딩을모르는사람도프로그램을개발할수있는길이열렸다챗에질문하고챗가만든코드를복사해서붙여넣기만해도프로그램이뚝딱만들어진다중요한것은프로그래밍언어를아는것이아니라문제해결방식을떠올리는것이다어떤데이터를어떻게수집하고어떤모듈로예측모델을만들고어떤조건으로종목추천을받을지생각했다면챗를이용해자동매매시스템으로조합하는것은더이상어렵지않다증권사트레이더에게챗를활용하는방식을배우고초보자도이해하기쉬운파이썬으로직접프로그램을만들면서자연스럽게코딩지식과금융지식을익혀보자,"['챗', '로만', '주식', '암호', '화폐', '자동', '매매', '시스템', '코딩', '누구', '파이썬', '금융', '프로그램']","['코딩', '나', '챗', '척척', '금융', '프로그램', '코딩', '사람', '프로그램', '개발', '길이', '챗', '질문', '챗', '코드', '복사', '붙여넣기', '만해', '프로그램', '뚝딱', '프로그래밍언어', '문제해결', '방식', '데이터', '수집', '모듈', '예측', '모델', '조건', '종목', '추천', '생각', '챗를', '용해', '자동', '매매', '시스템', '조합', '것', '더', '이상', '증권사', '트', '레이더', '챗를', '활용', '방식', '초보자', '이해', '파이썬', '직접', '프로그램', '자연', '코딩', '지식', '금융', '지식']"
파이썬,https://search.shopping.naver.com/book/catalog/32438172833,https://shopping-phinf.pstatic.net/main_3243817/32438172833.20230920072917.jpg,김영천,22500,기한재,20200225,9788970187990,이책은파이썬을다룬이론서입니다파이썬의기초적이고전반적인내용을학습할수있습니다,['파이썬'],"['책', '파이썬', '이론', '파이썬', '기초', '전반', '내용', '학습']"
파이썬,https://search.shopping.naver.com/book/catalog/32440944646,https://shopping-phinf.pstatic.net/main_3244094/32440944646.20230509164030.jpg,김상민^장성식^김일태,18000,렉스미디어닷넷,20220210,9788959604210,파이썬으로다지는프로그래밍의기초다양한예제를활용하여초보자도쉽게프로그래밍의기본을익힐수있는파이썬입문서입니다문법을사전식으로나열하지않고기능적인프로그램을하나씩완성하면서익힐수있게구성했습니다단계별로완성하는장별예제및연습문제를바탕으로자신만의프로그램을완성할수있습니다,['파이썬'],"['파이썬', '프로그래밍', '기초', '예제', '활용', '초보자', '프로그래밍', '기본', '파이썬', '입문', '문법', '사전', '기능', '프로그램', '하나', '완성', '면서', '구성', '단계', '별로', '완성', '장별', '예제', '및', '연습', '문제', '바탕', '자신', '프로그램', '완성']"
파이썬,https://search.shopping.naver.com/book/catalog/32460987987,https://shopping-phinf.pstatic.net/main_3246098/32460987987.20230207163755.jpg,홍의경,17000,생능출판,20220309,9788970506784,코딩실력을키우는지름길은실습이다년즈음에검인정중학교교과서정보정보정보을공저로저술하였습니다그당시에종류의교과서가검인정에합격하였는데파이썬을기반으로하는교과서가종류언어를기반으로하는교과서가종류베이직을기반으로하는교과서가종류스크래치를기반으로하는교과서가종류였습니다교육용언어로시작한파이썬이중학교학생들이비교적쉽게학습할수있는프로그래밍언어라고생각했는데여년의세월이흐른지금파이썬이활용되는분야가가히폭발적으로증가하였습니다파이썬에관한쉽고좋은교재를저술하기위해서인터넷에서페이지이상의자료를찾아서검토하였습니다어쩌면파이썬이첫프로그래밍언어일본교재의독자들이두려움없이파이썬을기초부터쉽게공부하다가교재를다읽고나면어느새중급수준에도달했구나라는생각이들도록완성도높은교재를목표로하였습니다입문자를대상으로하는교재일수록집필하는데훨씬더많은정성과노력이필요하다는것을잘알고있습니다개인적으로는데이터베이스전공교재를저술할때보다몇배더힘들었고공을많이들였습니다원고를버전까지작성하는동안셀수없이원고를읽어보면서꼭필요하지않은문장은삭제하고필요한문장은반드시넣었습니다고등학교검인정교과서권중학교검인정교과서권데이터베이스전공교재권엑셀교재권번역서권을집필하면서나름대로한글을정확하고간결하게표현하는데자신이있습니다,['파이썬'],"['코딩', '실력', '지름길', '실습', '년', '즈음', '검', '인정', '중학교', '교과서', '정보', '정보', '정보', '을', '공저', '저술', '당시', '종류', '교과서', '검', '인정', '합격', '파이썬', '기반', '교과서', '종류', '언어', '기반', '교과서', '종류', '베이직', '기반', '교과서', '종류', '스크래치', '기반', '교과서', '종류', '교육', '용언', '시작', '파이썬', '중학교', '학생', '비교', '학습', '프로그래밍언어', '생각', '여년', '세월', '지금', '파이썬', '활용', '분야', '폭발', '증가', '파이썬', '관', '교재', '저술', '위해', '인터넷', '페이지', '이상', '자료', '검토', '어쩌면', '파이썬', '첫', '프로그래밍언어', '일본', '교재', '독자', '두려움', '파이썬', '기초', '공부', '다가', '교재', '중', '수준', '도달', '생각', '완성', '교재', '목표', '입문', '대상', '교재', '집필', '데', '더', '정성', '노력', '개인', '데이터베이스', '교재', '저술', '때', '몇', '고공', '원고', '버전', '작성', '동안', '셀', '원고', '꼭', '문장', '삭제', '문장', '반드시', '고등학교', '검', '인정', '교과서', '중학교', '검', '인정', '교과서', '데이터베이스', '전공', '교재', '엑셀', '교재', '번역', '권', '집필', '면서', '나름', '한글', '표현', '데자', '신']"
파이썬제판,https://search.shopping.naver.com/book/catalog/32436240934,https://shopping-phinf.pstatic.net/main_3243624/32436240934.20230928092006.jpg,염기원,16200,북두,20220120,9791166750991,책의전반부는비전공자의입장에서비전공자를위한파이썬프로그래밍의기초적인내용으로구성되어있다프로그래밍에익숙하거나파이썬경험이있는독자들은곧바로책의후반부를공부하는것을권한다책의전반부에서는저자가처음컴퓨터프로그래밍이라는것을배울때가장어려워했던변수와메모리관계특성에대해서상세하게설명하면서비전공자들이쉽게프로그래밍에입문할수있도록하였다대부분의프로그래밍교재와다를바없이파이썬으로프로그램을작성할수있도록개발환경을설치하는과정과사용가능한프로그래밍툴에대해서도빠지지않고최대한상세한설명과충분한그림을삽입하였다또한전반부의뒷부분은데이터분석에필요한파이썬프로그램위주로구성해서앞부분의기초프로그래밍지식을바탕으로본격적인데이터분석을위한토대를마련할수있도록구성하였다,"['파이썬', '제판']","['책', '전반', '비', '전공자', '입장', '비', '전공자', '위', '파이썬', '프로그래밍', '기초', '내용', '구성', '프로그래밍', '파이썬', '경험', '독자', '곧바로', '책', '후반', '공부', '것', '권한', '책', '전반', '부', '자가', '처음', '컴퓨터', '프로그래밍', '것', '때', '가장', '변수', '메모리', '관계', '특성', '대해', '상세', '설명', '면서', '비', '전공자', '프로그래밍', '입문', '대부분', '프로그래밍', '교재', '바', '파이썬', '프로그램', '작성', '개발', '환경', '설치', '과정', '사용', '프로그래밍', '툴', '대해', '서도', '최대한', '상세', '설명', '그림', '삽입', '또한', '전반', '부의', '부분', '데이터', '분석', '파이썬', '프로그램', '위주', '구성', '앞', '부분', '기초', '프로그래밍', '지식', '바탕', '본격', '데이터', '분석', '위', '토대', '마련', '구성']"
