순위,노래,아티스트,노래링크,아티스트링크
1,Love 119,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
2,To. X,태연 (TAEYEON),javascript:;,https://music.bugs.co.kr/artist/80026437?wl_ref=list_tr_10_chart
3,Perfect Night,LE SSERAFIM (르세라핌),javascript:;,https://music.bugs.co.kr/artist/20158908?wl_ref=list_tr_10_chart
4,에피소드,이무진,javascript:;,https://music.bugs.co.kr/artist/20056684?wl_ref=list_tr_10_chart
5,Drama,aespa,javascript:;,https://music.bugs.co.kr/artist/80347326?wl_ref=list_tr_10_chart
6,비의 랩소디,임재현,javascript:;,https://music.bugs.co.kr/artist/20031632?wl_ref=list_tr_10_chart
7,Get A Guitar,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
8,MANIAC,VIVIZ (비비지),javascript:;,https://music.bugs.co.kr/artist/20153689?wl_ref=list_tr_10_chart
9,I AM,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
10,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),javascript:;,https://music.bugs.co.kr/artist/20063172?wl_ref=list_tr_10_chart
11,You & Me,제니 (JENNIE),javascript:;,https://music.bugs.co.kr/artist/80265678?wl_ref=list_tr_10_chart
12,Baddie,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
13,Ditto,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
14,ETA,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
15,헤어지자 말해요,박재정,javascript:;,https://music.bugs.co.kr/artist/80169222?wl_ref=list_tr_10_chart
16,인사,범진,javascript:;,https://music.bugs.co.kr/artist/20058357?wl_ref=list_tr_10_chart
17,Love Lee,AKMU(악뮤),javascript:;,https://music.bugs.co.kr/artist/80141499?wl_ref=list_tr_10_chart
18,첫 눈,EXO,javascript:;,https://music.bugs.co.kr/artist/80155940?wl_ref=list_tr_10_chart
19,한 페이지가 될 수 있게,DAY6 (데이식스),javascript:;,https://music.bugs.co.kr/artist/80245739?wl_ref=list_tr_10_chart
20,후라이의 꿈,AKMU(악뮤),javascript:;,https://music.bugs.co.kr/artist/80141499?wl_ref=list_tr_10_chart
21,Super Shy,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
22,Seven (feat. Latto) - Clean Ver.,정국,javascript:;,https://music.bugs.co.kr/artist/80180889?wl_ref=list_tr_10_chart
23,Discord,QWER,javascript:;,https://music.bugs.co.kr/artist/13456593?wl_ref=list_tr_10_chart
24,Talk Saxy,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
25,Hype Boy,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
26,Standing Next to You,정국,javascript:;,https://music.bugs.co.kr/artist/80180889?wl_ref=list_tr_10_chart
27,Spicy,aespa,javascript:;,https://music.bugs.co.kr/artist/80347326?wl_ref=list_tr_10_chart
