구명,주차장명,수용능력,주소,경도,위도,추가요금,기본요금
강남구,(주)에스알 주차장,601,강남구 수서동 220-0 ,127.1058533,37.4853352,1000,3000
강남구,119민영주차장,25,강남구 역삼동 738-20,127.0366401,37.4981776,1000,3000
강남구,119주차장(민영),19,강남구 삼성동 149-0,127.05540895,37.51194707,1000,2000
강남구,751빌딩 주차장,30,강남구 논현동 203-0,127.028246,37.506108,500,1500
강남구,A Tower 주차장,31,강남구 역삼동 822-1,127.02852692,37.49866878,1000,2000
강남구,AC호텔바이메리어트서울강남 주차장,50,강남구 역삼동 642-0,127.035508,37.50127,1000,3000
강남구,AJ파크 우신빌딩점,145,강남구 역삼동 646-15,127.035215,37.500818,1000,2000
강남구,AMC타워 주차장,89,강남구 역삼동 652-2,127.036546,37.507788,1500,4000
강남구,CBA 주차장,70,강남구 신사동 612-1 ,127.0297446,37.52663101,1000,4000
강남구,CGV 강남 주차장,41,강남구 역삼동 814-6,127.026419,37.501619,1000,3000
강남구,CNNBiz강남교육센터 주차장,20,강남구 역삼동 619-16,127.02700333,37.50147266,500,1500
강남구,DDMC 주차장,80,강남구 논현동 61-5 ,127.0315549,37.5203416,5000,5000
강남구,DS 디에스 유료주차장(민영),20,강남구 신사동 662-12,127.03887118,37.52695056,1500,3000
강남구,ES타워 주차장,23,강남구 논현동 201-12,127.02572644,37.50518956,2000,2000
강남구,GE타워 부설주차장,102,강남구 청담동 71-3 ,127.05573337,37.52141593,1500,1500
강남구,GFC 주차장,1312,강남구 역삼동 737-0,127.036664,37.499842,1000,3000
강남구,GN바디닥터 본사 주차장,38,강남구 대치동 994-9,127.0684571,37.4981905,500,3000
강남구,GS타워 주차장,1079,강남구 역삼동 679-0,127.036805,37.502079,1000,2000
강남구,GS타임즈 삼성동3(민영),8,강남구 삼성동 161-10,127.06303604,37.5141655,,1500
강남구,GS타임즈 삼성역 주차장(민영),21,강남구 대치동 995-28,127.06461835,37.50849093,1000,2000
강남구,GS타임즈 영동프라자 주차장,121,강남구 논현동 140-0,127.02369409,37.50994959,1000,2000
